latitude, longitude
43.624980, -79.364036
43.625377, -79.364273
43.625831, -79.364540
43.626171, -79.364715
43.626777, -79.365066
43.627113, -79.364982
43.627120, -79.364944
43.627292, -79.364898
43.627231, -79.364768
43.627182, -79.364585
43.627162, -79.364486
43.627063, -79.364410
43.626861, -79.364250
43.626571, -79.364128
43.626190, -79.364112
43.625762, -79.364135
43.625331, -79.364105
43.624900, -79.364082
43.624816, -79.364028
43.624767, -79.364135
43.624778, -79.364067
43.624763, -79.364059
43.624767, -79.364082
43.624767, -79.364074
43.624767, -79.364059
43.624763, -79.364097
43.624740, -79.364166
43.624916, -79.364257
43.624786, -79.364112
43.624782, -79.364120
43.624771, -79.364097
43.624771, -79.364082
43.624767, -79.364082
43.624763, -79.364082
43.624763, -79.364089
43.624763, -79.364074
43.624767, -79.364097
43.624774, -79.364105
43.624771, -79.364074
43.624755, -79.364074
43.624736, -79.364051
43.624744, -79.364059
43.624744, -79.364059
43.624752, -79.364082
43.624748, -79.364074
43.624755, -79.364082
43.624740, -79.364082
43.624744, -79.364082
43.624736, -79.364067
43.624771, -79.364082
43.624767, -79.364082
43.624744, -79.364067
43.624752, -79.364067
43.624755, -79.364067
43.624755, -79.364074
43.624763, -79.364089
43.624771, -79.364074
43.624767, -79.364097
43.624763, -79.364089
43.624767, -79.364089
43.624759, -79.364067
43.624767, -79.364074
43.624767, -79.364082
43.624755, -79.364074
43.624755, -79.364067
43.624759, -79.364089
43.624755, -79.364089
43.624771, -79.364089
43.624755, -79.364082
43.624755, -79.364074
43.624744, -79.364059
43.624755, -79.364059
43.624492, -79.364158
43.624549, -79.364234
43.624572, -79.364196
43.624588, -79.364189
43.624561, -79.364196
43.624557, -79.364212
43.624561, -79.364204
43.624553, -79.364212
43.624526, -79.364250
43.624530, -79.364242
43.624530, -79.364204
43.624546, -79.364204
43.624546, -79.364219
43.624546, -79.364227
43.624546, -79.364265
43.624561, -79.364250
43.624549, -79.364265
43.624595, -79.364257
43.624553, -79.364273
43.624553, -79.364280
43.624549, -79.364265
43.624546, -79.364295
43.624565, -79.364295
43.624561, -79.364273
43.624534, -79.364295
43.624553, -79.364280
43.624580, -79.364295
43.624557, -79.364280
43.624565, -79.364257
43.624561, -79.364250
43.624553, -79.364273
43.624557, -79.364265
43.624538, -79.364257
43.624572, -79.364265
43.624549, -79.364250
43.624561, -79.364242
43.624549, -79.364234
43.624572, -79.364273
43.624588, -79.364257
43.624565, -79.364227
43.624549, -79.364219
43.624591, -79.364250
43.624607, -79.364257
43.624561, -79.364227
43.624515, -79.364227
43.624565, -79.364227
43.624660, -79.364151
43.624645, -79.364128
43.624675, -79.364128
43.624679, -79.364166
43.624633, -79.364120
43.624660, -79.364135
43.624671, -79.364143
43.624652, -79.364120
43.624641, -79.364120
43.624652, -79.364143
43.624671, -79.364143
43.624641, -79.364128
43.624668, -79.364135
43.624637, -79.364097
43.624660, -79.364105
43.624664, -79.364128
43.624645, -79.364105
43.624687, -79.364112
43.624683, -79.364143
43.624343, -79.363952
43.623661, -79.363792
43.623069, -79.363487
43.623233, -79.362716
43.623649, -79.361976
43.624164, -79.361351
43.624542, -79.360664
43.625026, -79.359977
43.625431, -79.359352
43.625896, -79.358764
43.626358, -79.358215
43.626937, -79.357643
43.627441, -79.357093
43.627452, -79.356590
43.627815, -79.356819
43.628425, -79.356437
43.629051, -79.356155
43.629718, -79.356117
43.630306, -79.356552
43.630683, -79.356811
43.630809, -79.356903
43.630847, -79.356887
43.630878, -79.356880
43.630950, -79.356849
43.630840, -79.356895
43.630924, -79.356933
43.630924, -79.356971
43.630893, -79.356910
43.630805, -79.356887
43.630786, -79.356895
43.630973, -79.356880
43.631114, -79.357078
43.631271, -79.357460
43.631362, -79.357460
43.631305, -79.357437
43.631347, -79.357452
43.631320, -79.357475
43.631320, -79.357475
43.631336, -79.357490
43.631324, -79.357490
43.631324, -79.357490
43.631347, -79.357475
43.631336, -79.357467
43.631355, -79.357490
